Ticker,close,date,high,low,month,open,volume,Daily Return
WIPRO,517.95,3/14/2024 5:30,518.9,495.15,2024-03,501.15,6412736,0.033522897
WIPRO,517,3/15/2024 5:30,518.25,506.4,2024-03,514.75,6824543,0.004371054
WIPRO,510.2,3/18/2024 5:30,518.55,509,2024-03,518,3196980,-0.015057915
WIPRO,494.85,3/19/2024 5:30,509,493.15,2024-03,509,4808693,-0.027799607
WIPRO,493.5,3/20/2024 5:30,501.25,489.2,2024-03,496.05,4192672,-0.005140611
WIPRO,500.45,3/21/2024 5:30,505.3,498.45,2024-03,499.65,5822290,0.001601121
WIPRO,487.1,3/22/2024 5:30,490.75,479.55,2024-03,489.25,14323251,-0.004394481
WIPRO,479.85,3/26/2024 5:30,490.95,479.05,2024-03,486,9136673,-0.012654321
WIPRO,472.3,3/27/2024 5:30,480.95,471.25,2024-03,479.7,7160334,-0.015426308
WIPRO,480.1,3/28/2024 5:30,483.05,475.3,2024-03,476.7,7727575,0.007132368
WIPRO,484.95,4/1/2024 5:30,486.4,481.55,2024-04,483.7,3020504,0.002584246
WIPRO,481.2,4/2/2024 5:30,482.7,479.6,2024-04,481.95,3466327,-0.001556178
WIPRO,483.2,4/3/2024 5:30,487.7,475.95,2024-04,480,6897258,0.006666667
WIPRO,487.4,4/4/2024 5:30,491.95,479.6,2024-04,485.8,8002023,0.003293536
WIPRO,485.05,4/5/2024 5:30,487.15,482.55,2024-04,486.5,3207172,-0.002980473
WIPRO,479.9,4/8/2024 5:30,491.6,478.2,2024-04,490,13320385,-0.020612245
WIPRO,475.8,4/9/2024 5:30,485.25,475.2,2024-04,483.95,7900625,-0.016840583
WIPRO,477.3,4/10/2024 5:30,479.45,473.1,2024-04,477.5,5385767,-0.000418848
WIPRO,470.75,4/12/2024 5:30,480,470,2024-04,475,6585023,-0.008947368
WIPRO,459.35,4/15/2024 5:30,468.35,458.2,2024-04,466.45,6088236,-0.015221353
WIPRO,448.35,4/16/2024 5:30,458.5,444.8,2024-04,453.05,10719712,-0.010374131
WIPRO,444.35,4/18/2024 5:30,455.45,442.85,2024-04,452.5,10993129,-0.01801105
WIPRO,452.75,4/19/2024 5:30,453.9,437,2024-04,440,10235053,0.028977273
WIPRO,462,4/22/2024 5:30,466.15,450,2024-04,452.75,9440870,0.020430701
WIPRO,462.1,4/23/2024 5:30,466.8,460.2,2024-04,466.8,5161356,-0.010068552
WIPRO,459.9,4/24/2024 5:30,464.65,458.6,2024-04,463.9,2957584,-0.008622548
WIPRO,461,4/25/2024 5:30,462.55,455.8,2024-04,458.9,5902545,0.00457616
WIPRO,464.6,4/26/2024 5:30,475.8,461.6,2024-04,461.9,10739147,0.005845421
WIPRO,462.95,4/29/2024 5:30,468,461.6,2024-04,467.65,3624970,-0.010050251
WIPRO,462.4,4/30/2024 5:30,466.75,461.5,2024-04,463,4451478,-0.001295896
WIPRO,457.4,5/2/2024 5:30,463,455.45,2024-05,462.4,7468638,-0.010813149
WIPRO,457.35,5/3/2024 5:30,462,453.2,2024-05,460.4,4865313,-0.006624674
WIPRO,458.65,5/6/2024 5:30,462.6,456,2024-05,458.8,3459063,-0.00032694
WIPRO,463.9,5/7/2024 5:30,465.35,454,2024-05,461.8,4639264,0.004547423
WIPRO,463.2,5/8/2024 5:30,466.4,461.3,2024-05,465,4102840,-0.003870968
WIPRO,455.9,5/9/2024 5:30,464.4,454.05,2024-05,461.75,4616742,-0.012669193
WIPRO,451.85,5/10/2024 5:30,457.5,450.3,2024-05,456.05,3327357,-0.009209517
WIPRO,451.95,5/13/2024 5:30,453.25,445,2024-05,451.85,3555804,0.000221312
